id,label,sentence,pos
782,0,The third point is our tickets were not reduced at all !,DT JJ NN VBZ PRP$ NNS VBD RB VBN IN DT . 
12,0,What are you going to do without a phone ?,WP VBP PRP VBG TO VB IN DT NN . 
1212,1,Now I have a cold because it was so cold evening .,RB PRP VBP DT NN IN PRP VBD RB JJ NN . 
171,0,But everything was terrible and different to your advertisement .,CC NN VBD JJ CC JJ IN PRP$ NN . 
598,0,You should have let us have that information in advance .,PRP MD VB VBN PRP VB DT NN IN NN . 
1239,1,I think that good shopping depends on ourself .,PRP VBP IN JJ NN VBZ IN NN . 
260,0,Then how has it changed our daily life ?,RB WRB VBZ PRP VBD PRP$ JJ NN . 
925,0,Is n't it a great opportunity for us ?,VBZ RB PRP DT JJ NN IN PRP . 
1324,1,I 'm very happy to receive some news about you .,PRP VB RB JJ TO VB DT NNS IN PRP . 
678,0,I have lots of memories which I could never forget .,PRP VBP NNS IN NNS WDT PRP MD RB VB . 
1113,1,"To sum up , I believe your advertisement completely misled .","TO VB RP , PRP VBP PRP$ NN RB VBD . "
704,0,But you must always be on your guard against pickpockets .,CC PRP MD RB VB IN PRP$ NN IN NNS . 
332,0,But everyone always saw from his face he had a secret .,CC NN RB VBD IN PRP$ NN PRP VBD DT NN . 
355,0,You should go there .,PRP MD VB RB . 
138,0,I play guard on my team .,PRP VBP NN IN PRP$ NN . 
381,0,This is not a taboo subject with me and my friends .,DT VBZ RB DT JJ NN IN PRP CC PRP$ NNS . 
292,0,They keep claiming that there 's nothing better than shopping .,PRP VBP VBG IN EX VBZ NN JJR IN NN . 
1100,1,That goes quicker and it is easier for me .,DT VBZ RBR CC PRP VBZ JJR IN PRP . 
771,0,"Dear Mrs Ryan ,",JJ NNP NNP . 
141,0,I am good at timing on swimming .,PRP VBP JJ IN NN IN NN . 
691,0,Technology will not stop growing and helping people in the future .,NN MD RB VB VBG CC VBG NNS IN DT NN . 
1182,1,There is a academic building .,EX VBZ DT JJ NN . 
560,0,"That means , our security system will be much stronger .","RB VBZ , PRP$ NN NN MD VB RB JJR . "
139,0,I also like tennis but I am not very good .,PRP RB VBP NN CC PRP VBP TO RB JJ . 
1329,1,The architecture bring you back into the old time .,DT NN VBP PRP RP IN DT JJ NN . 
1102,1,"Secondly , some concerts took a place in really small halls .","RB , DT NNS VBD DT NN IN RB JJ NNS . "
