id	label	sentence	pos
579	1	I 'd like to know USA .	PRP MD VB TO VB NNP . 
211	0	I expected to see a variety of nationalities .	PRP VBD TO VB DT NN IN NNS . 
9	0	It is really interesting .	PRP VBZ RB JJ . 
612	1	thanks a lot for your long letter !	NN DT NN IN PRP$ JJ NN . 
299	0	And that made the concert absolutely perfect .	CC DT VBD DT NN RB JJ . 
355	0	Also with weekend shopping	RB IN NN NN 
634	1	How poor their imagination are !	WRB JJ PRP$ NN VBP . 
573	1	Was very exciting moment and very nice competition .	VBD RB JJ NN CC RB JJ NN . 
84	0	Because it 's crowded with people .	IN PRP VBZ JJ IN NNS . 
296	0	Shopping is not always enjoyable	NN VBZ RB RB JJ 
442	0	Dear manager of the theatre ,	JJ NN IN DT NN . 
203	0	There are many historic buildings .	EX VBZ JJ JJ NNS . 
196	0	She has an open mind .	PRP VBZ DT JJ NN . 
278	0	My other choice is painting .	PRP$ JJ NN VBZ NN . 
93	0	I was pleased to receive your letter recently .	PRP VBD JJ TO VB PRP$ NN RB . 
528	1	I hope that my wish is being accepted .	PRP VBP IN PRP$ NN VBZ VBG VBN . 
490	1	But I was really disappointed it .	CC PRP VBD RB JJ PRP . 
591	1	I can buy something from internet .	PRP MD VB NN IN NN . 
28	0	I was pleased when I got it .	PRP VBD JJ WRB PRP VBD PRP . 
184	0	Jogging or some sports ?	NN CC DT NNS . 
521	1	Howeve it was great job	RB PRP VBD JJ NN 
178	0	She was always being pursued by the media .	PRP VBD RB VBG VBN IN DT NN . 
260	0	Are any parties organized during the holidays ?	VBP DT NNS VBN IN DT NNS . 
153	0	She was going to cry .	PRP VBD VBG TO VB . 
75	0	I also had to clean the washrooms .	PRP RB VBD TO VB DT NNS . 
357	0	But it has advantages as well as disadvantages .	CC PRP VBZ NNS RB RB IN NNS . 
92	0	I hope you are fine .	PRP VBP PRP VBP JJ . 
353	0	I 'm looking forward to hearing from you ,	PRP VBP VBG RB IN VBG IN PRP . 
68	0	It 's about money .	PRP VBZ IN NN . 
377	0	Dear Mrs Smith ,	JJ NN NNP , 
334	0	I got up very early .	PRP VBD RP RB RB . 
188	0	It is free for students .	PRP VBZ JJ IN NNS . 
15	0	But I enjoy finding out about new activities !	CC PRP VBP VBG IN IN JJ NNS . 
647	1	Moreover there was no discount ticket .	RB EX VBD DT NN NN . 
408	0	At present , technology develops rapidly .	IN NN , NN VBZ RB . 
88	0	The accommodation I prefer is a tent .	DT NN PRP VB VBZ DT NN . 
544	1	I could n't believe in it !	PRP MD RB VB IN PRP . 
117	0	Then how has it changed our daily life ?	RB WRB VBZ PRP VBD PRP$ JJ NN . 
637	1	Especially , students are free !	RB , NNS VBZ JJ . 
486	1	If is possible I would like swimming .	IN VBZ JJ PRP MD VB VBG . 
33	0	I 've just helped the staff .	PRP VBP RB VBN DT NN . 
0	0	I use the Internet now .	PRP VBP DT NNP RB . 
641	1	- of benefice and each us take 400 .	HYPH IN NN CC DT PRP VB CD . 
250	0	The tube is line 2 which is red .	DT NN VBZ NN CD WDT VBZ JJ . 
411	0	I would like to travel	PRP MD VB TO VB 
395	0	I have great experience of sailing .	PRP VBP JJ NN IN NN . 
556	1	I suggest to wear shirts and jeans .	PRP VBP TO VB NNS CC NNS . 
322	0	It sounds easy , just doing the lighting .	PRP VBZ JJ , RB VBG DT NN . 
22	0	Technology is the future , and the present .	NN VBZ DT NN , CC DT JJ . 
61	0	I hope you consider these suggestions .	PRP VBP PRP VBP DT NNS . 
116	0	He wanted everything that his eyes saw .	PRP VBD NN WDT PRP$ NNS VBD . 
595	1	My job just prepear drink for them .	PRP$ NN RB VBP NN IN PRP . 
228	0	The microphones all had to be checked .	DT NNS RB VBD TO VB VBN . 
89	0	What clothes should I take ?	WDT NNS MD PRP VB . 
182	0	Secondly , accommodation .	RB , NN . 
275	0	That was not true !	DT VBD RB JJ . 
284	0	I have n't tried it before .	PRP VBP RB VBN PRP RB . 
18	0	I am sure you can understand this .	PRP VBP JJ PRP MD VB DT . 
305	0	I think I 'll enjoy this trip .	PRP VBP PRP MD VB DT NN . 
383	0	It will save our Earth .	PRP MD VB PRP$ NNP . 
144	0	Thanks for your letter .	NNS IN PRP$ NN . 
369	0	And they ask for money from other people .	CC PRP VBP IN NN IN JJ NNS . 
329	0	I could n't be satisfied with your theatre .	PRP MD RB VB JJ IN PRP$ NN . 
584	1	And their life passed in the ways .	CC PRP$ NN VBD IN DT NNS . 
431	0	What day can I start my trip ?	WDT NN MD PRP VB PRP$ NN . 
404	0	I think you should have a kindergarten .	PRP VBP PRP MD VB DT NN . 
46	0	A different actor appeared instead of him .	DT JJ NN VBD RB IN PRP . 
261	0	That 's the nub of my complaints .	WDT VBZ DT NN IN PRP$ NNS . 
195	0	when she turned around talking and whispering started .	WRB PRP VBD RP VBG CC VBG VBD . 
648	1	We are look forward to hearing from you	PRP VBP VB RB IN VBG IN PRP 
539	1	I look forward to meeting each other soon .	PRP VBP RB IN VBG DT JJ RB . 
107	0	I think it is bombastic .	PRP VBP PRP VBZ JJ . 
582	1	The show after was great .	DT NN RB VBD JJ . 
456	1	I must be in home untill 11pm .	PRP MD VB IN NN IN NN . 
338	0	Shopping is a common activity in their life .	NN VBZ DT JJ NN IN PRP$ NN . 
473	1	I prefer in tents .	PRP VBP IN NNS . 
632	1	At that time he was unconcious ,	IN DT NN PRP VBD JJ , 
577	1	or you are going to get nervous !	CC PRP VBP VBG TO VB JJ . 
477	1	Why was he not here ?	WRB VBD PRP RB RB . 
483	1	Thanks for all these informations ,	NNS IN PDT DT NNS , 
417	0	Everything was ready and I was too .	NN VBD JJ CC PRP VBD RB . 
149	0	During those years I had met Zuhal Olcoy .	IN DT NNS PRP VBD VBN NNP NNP . 
124	0	It is more fun and more sociable .	PRP VBZ RBR JJ CC RBR JJ . 
513	1	The concert went terrific , too !	DT NN VBD JJ , RB . 
